# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        173.63376805       9.77242252e-15    -1.207275115923e-03     1.424128894721e-03     3.595077348906e-03
        174.87400925       4.53498383e-15    -1.207198358085e-03     1.427140147556e-03     3.588164376210e-03
        176.11425045       1.73331810e-14    -1.207145548781e-03     1.437502329622e-03     3.580852578499e-03
        177.35449165       7.16774014e-15    -1.207127489187e-03     1.454904184068e-03     3.573254001703e-03
        178.59473285      -2.86643680e-15    -1.207136638083e-03     1.478996053667e-03     3.565476072624e-03
        179.83497405      -3.19885028e-16    -1.207155468937e-03     1.509453089699e-03     3.557585346681e-03
        181.07521525      -3.58257597e-15    -1.207165490526e-03     1.545853338030e-03     3.549652876805e-03
        182.31545645      -8.52286939e-16    -1.207168860955e-03     1.587630406952e-03     3.541800597699e-03
        183.55569765      -4.74531272e-15    -1.207188554566e-03     1.634121584859e-03     3.534179503889e-03
        184.79593885      -5.67477016e-16    -1.207259402524e-03     1.684651672042e-03     3.526926324285e-03
        186.03618005       1.64818045e-15    -1.207389510778e-03     1.738558843316e-03     3.520150290837e-03
        187.27642125      -2.45036503e-15    -1.207554617038e-03     1.795121942789e-03     3.513950267972e-03
        188.51666245      -2.44888837e-15    -1.207719942368e-03     1.853529286753e-03     3.508432952946e-03
        189.75690365       1.22941331e-14    -1.207876405318e-03     1.912902063614e-03     3.503684284892e-03
        190.99714485       8.12429273e-15    -1.208020186282e-03     1.972391385293e-03     3.499769065711e-03
        192.23738605      -6.73645559e-15    -1.208160290380e-03     2.031182251048e-03     3.496727089322e-03
        193.47762725       5.88257662e-15    -1.208299250118e-03     2.088542002464e-03     3.494560001198e-03
        194.71786845       3.94796941e-15    -1.208436476983e-03     2.143673445375e-03     3.493259905713e-03
        195.95810965       1.19858254e-14    -1.208543036493e-03     2.195727071495e-03     3.492852365316e-03
        197.19835085       8.70223922e-15    -1.208615742761e-03     2.243959276312e-03     3.493384912242e-03
        198.43859205       2.09535272e-14    -1.208664981652e-03     2.287848244563e-03     3.494855228881e-03
        199.67883325      -1.15142430e-14    -1.208699103921e-03     2.326625284778e-03     3.497221759018e-03
        200.91907445       1.26374173e-14    -1.208679207399e-03     2.359780981698e-03     3.500432535711e-03
        202.15931565       1.07959200e-14    -1.208598025417e-03     2.386887570291e-03     3.504449140672e-03
        203.39955685      -2.66797466e-15    -1.208472765816e-03     2.407641225870e-03     3.509201181336e-03
        204.63979805      -4.44301631e-15    -1.208316192297e-03     2.421799925235e-03     3.514598731634e-03
        205.88003925       3.48949336e-15    -1.208125064979e-03     2.429208922952e-03     3.520556452785e-03
        207.12028045       3.10884112e-15    -1.207897153948e-03     2.429810374596e-03     3.526990114732e-03
        208.36052165      -6.22265327e-15    -1.207651518016e-03     2.423598425180e-03     3.533822206286e-03
        209.60076286       5.41315378e-15    -1.207408527073e-03     2.410640217258e-03     3.541020331323e-03
        210.84100406      -5.04460216e-16    -1.207170737790e-03     2.391148893910e-03     3.548515061989e-03
        212.08124526       1.78662563e-14    -1.206927909378e-03     2.365436166176e-03     3.556164367642e-03
        213.32148646      -1.97285787e-15    -1.206677471744e-03     2.333903929831e-03     3.563821756285e-03
        214.56172766       3.14992186e-15    -1.206434374064e-03     2.297045504981e-03     3.571393612007e-03
        215.80196886       5.11169703e-15    -1.206218299648e-03     2.255357333469e-03     3.578795208194e-03
        217.04221006      -1.66908648e-14    -1.206009391062e-03     2.209454579398e-03     3.585895317540e-03
        218.28245126       5.14627073e-15    -1.205790876066e-03     2.160070943173e-03     3.592602169648e-03
        219.52269246       3.14165316e-15    -1.205593950155e-03     2.107862616088e-03     3.598874006666e-03
        220.76293366       6.02609221e-15    -1.205445984311e-03     2.053446484293e-03     3.604647451460e-03
        222.00317486       1.34308839e-14    -1.205329096281e-03     1.997643958989e-03     3.609798529350e-03
        223.24341606      -1.40307769e-14    -1.205226933733e-03     1.941365706370e-03     3.614185631585e-03
        224.48365726      -1.69975347e-15    -1.205140456872e-03     1.885308299652e-03     3.617706894365e-03
        225.72389846       8.49597096e-15    -1.205070035586e-03     1.830133540228e-03     3.620360267783e-03
        226.96413966      -5.62885624e-15    -1.205057982187e-03     1.776510510947e-03     3.622184862347e-03
        228.20438086       6.97018859e-15    -1.205127555991e-03     1.725304752670e-03     3.623130554572e-03
