# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   17.900000     0.0000000000e+00     1.1989896837e-02     0.0000000000e+00
   17.950000     0.0000000000e+00     1.2045324954e-02     0.0000000000e+00
   18.000000     0.0000000000e+00     1.2087712943e-02     0.0000000000e+00
   18.050000     0.0000000000e+00     1.2097678011e-02     0.0000000000e+00
   18.100000     0.0000000000e+00     1.2068304292e-02     0.0000000000e+00
   18.150000     0.0000000000e+00     1.2010371141e-02     0.0000000000e+00
   18.200000     0.0000000000e+00     1.1952090130e-02     0.0000000000e+00
   18.250000     0.0000000000e+00     1.1932286820e-02     0.0000000000e+00
   18.300000     0.0000000000e+00     1.1988664637e-02     0.0000000000e+00
   18.350000     0.0000000000e+00     1.2145009044e-02     0.0000000000e+00
   18.400000    -0.0000000000e+00     1.2401871712e-02     0.0000000000e+00
