# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    9.850000     1.2349937142e-02     0.0000000000e+00     0.0000000000e+00
    9.900000     1.2282576592e-02     0.0000000000e+00     0.0000000000e+00
    9.950000     1.2129795357e-02     0.0000000000e+00     0.0000000000e+00
   10.000000     1.1862037160e-02     0.0000000000e+00     0.0000000000e+00
   10.050000     1.1475946420e-02     0.0000000000e+00     0.0000000000e+00
   10.100000     1.0997186458e-02    -0.0000000000e+00     0.0000000000e+00
   10.150000     1.0476103998e-02    -0.0000000000e+00     0.0000000000e+00
   10.200000     9.9772582943e-03    -0.0000000000e+00     0.0000000000e+00
   10.250000     9.5656144030e-03    -0.0000000000e+00     0.0000000000e+00
   10.300000     9.2929386380e-03     0.0000000000e+00     0.0000000000e+00
   10.350000     9.1875736326e-03     0.0000000000e+00     0.0000000000e+00
   10.400000     9.2496846293e-03     0.0000000000e+00     0.0000000000e+00
   10.450000     9.4527239343e-03     0.0000000000e+00     0.0000000000e+00
   10.500000     9.7505552609e-03     0.0000000000e+00     0.0000000000e+00
   10.550000     1.0088526328e-02     0.0000000000e+00     0.0000000000e+00
   10.600000     1.0415864871e-02     0.0000000000e+00     0.0000000000e+00
   10.650000     1.0696308939e-02     0.0000000000e+00     0.0000000000e+00
   10.700000     1.0914164469e-02     0.0000000000e+00     0.0000000000e+00
   10.750000     1.1074186075e-02     0.0000000000e+00     0.0000000000e+00
   10.800000     1.1195608518e-02     0.0000000000e+00    -0.0000000000e+00
   10.850000     1.1302682392e-02     0.0000000000e+00    -0.0000000000e+00
   10.900000     1.1415322990e-02     0.0000000000e+00    -0.0000000000e+00
   10.950000     1.1543305145e-02     0.0000000000e+00    -0.0000000000e+00
   11.000000     1.1685791589e-02     0.0000000000e+00    -0.0000000000e+00
   11.050000     1.1835573959e-02     0.0000000000e+00    -0.0000000000e+00
   11.100000     1.1985369186e-02     0.0000000000e+00    -0.0000000000e+00
